date,open,high,low,close,adj close,volume
2018-10-08,9.97,10.07,9.92,10.03,9.734005,9091600
2018-10-09,9.97,10.04,9.93,10.02,9.724301,8825600
2018-10-10,9.81,9.84,9.63,9.74,9.452564,23251500
2018-10-11,9.53,9.68,9.46,9.52,9.239058,18729300
2018-10-12,9.65,9.76,9.57,9.74,9.452564,11524500
2018-10-15,9.85,9.96,9.79,9.91,9.617547,17032800
2018-10-16,9.95,10.52,9.91,10.22,9.918399,27500700
2018-10-17,10.06,10.06,9.74,9.8,9.510794,20694700
2018-10-18,9.78,9.78,9.35,9.54,9.258466,21337000
2018-10-19,9.6,9.76,9.54,9.58,9.297286,8651900
2018-10-22,9.57,9.58,9.4,9.48,9.200236,9586300
2018-10-23,9.24,9.42,9.22,9.4,9.122598,10275200
2018-10-24,9.3,9.37,9.05,9.06,8.792632,11702500
2018-10-25,9.08,9.2,9.05,9.11,8.934843,9126200
2018-10-26,8.99,9.05,8.85,9.02,8.846575,8647400
2018-10-29,9.08,9.1,8.88,8.97,8.797536,9618300
2018-10-30,9.16,9.32,9.1,9.19,9.013305,13429500
2018-10-31,9.45,9.54,9.41,9.47,9.287922,9089200
2018-11-01,9.39,9.4,9.21,9.3,9.121191,12112500
2018-11-02,9.34,9.41,9.23,9.25,9.072152,8302600
2018-11-05,9.29,9.47,9.29,9.4,9.219268,9240100
2018-11-06,9.44,9.55,9.39,9.48,9.297729,6901300
2018-11-07,9.62,9.69,9.58,9.61,9.42523,6291500
2018-11-08,9.61,9.65,9.46,9.51,9.327153,5057100
2018-11-09,9.41,9.5,9.37,9.49,9.307537,5318600
2018-11-12,9.42,9.47,9.27,9.34,9.160421,7691300
2018-11-13,9.37,9.46,9.33,9.4,9.219268,5937800
2018-11-14,9.41,9.44,9.16,9.25,9.072152,5406400
2018-11-15,9.27,9.37,9.16,9.33,9.150614,7020900
2018-11-16,9.28,9.37,9.25,9.33,9.150614,4709700
2018-11-19,9.33,9.33,9.21,9.29,9.111383,6507000
2018-11-20,9.18,9.19,9.05,9.09,8.915228,7108500
2018-11-21,8.99,9.1,8.95,9.07,8.895612,7539300
2018-11-23,9.05,9.16,9.05,9.09,8.915228,3158400
2018-11-26,9.07,9.21,9.06,9.18,9.003497,6051900
2018-11-27,9.25,9.31,9.19,9.27,9.091768,5458600
2018-11-28,9.63,9.89,9.56,9.86,9.670423,13928900
2018-11-29,9.79,9.8,9.66,9.68,9.493885,12415800
2018-11-30,9.8,9.86,9.75,9.86,9.670423,10463200
2018-12-03,9.91,9.94,9.86,9.9,9.709654,13191200
2018-12-04,9.94,10.05,9.83,9.85,9.660616,9518900
2018-12-06,9.77,9.86,9.71,9.83,9.641,17177400
2018-12-07,9.83,9.97,9.65,9.69,9.503692,11353200
2018-12-10,9.55,9.59,9.43,9.57,9.386,7731000
2018-12-11,9.65,9.77,9.62,9.69,9.503692,7952700
2018-12-12,9.77,9.82,9.66,9.66,9.474269,5453300
2018-12-13,9.93,9.98,9.85,9.87,9.680231,7971700
2018-12-14,9.99,10.01,9.87,9.89,9.699846,7799600
2018-12-17,9.82,9.83,9.54,9.6,9.415423,10520400
2018-12-18,9.68,9.72,9.5,9.54,9.356576,9742500
2018-12-19,9.49,9.58,9.38,9.43,9.248692,8175400
2018-12-20,9.51,9.54,9.14,9.28,9.101575,23548800
2018-12-21,9.21,9.31,9.1,9.1,8.925036,15286200
2018-12-24,9.19,9.24,9.07,9.08,8.90542,8590700
2018-12-26,9.15,9.38,9.12,9.38,9.199653,9004200
2018-12-27,9.3,9.45,9.28,9.45,9.268306,9856500
2018-12-28,9.48,9.5,9.38,9.43,9.248692,6818500
2018-12-31,9.47,9.53,9.39,9.52,9.336961,7229400
2019-01-02,9.5,9.73,9.47,9.61,9.42523,9818900
2019-01-03,9.55,9.59,9.47,9.47,9.287922,9404900
2019-01-04,9.52,9.72,9.5,9.63,9.444846,7119000
2019-01-07,9.7,9.81,9.66,9.71,9.523308,7732700
2019-01-08,9.82,9.85,9.72,9.75,9.562538,9391600
2019-01-09,9.76,9.89,9.74,9.87,9.680231,9634300
2019-01-10,9.78,9.89,9.7,9.88,9.690039,13956500
2019-01-11,10.18,10.68,10.12,10.41,10.209848,40526400
2019-01-14,10.18,10.41,10.13,10.37,10.170618,34162200
2019-01-15,10.57,10.58,10.46,10.49,10.28831,12153400
2019-01-16,10.57,10.64,10.55,10.61,10.406003,12048400
2019-01-17,10.54,10.63,10.5,10.58,10.37658,9581000
2019-01-18,10.6,10.69,10.58,10.67,10.46485,10168700
2019-01-22,10.64,10.68,10.47,10.53,10.327541,10437700
2019-01-23,10.56,10.56,10.43,10.53,10.327541,8108100
2019-01-24,10.53,10.55,10.43,10.43,10.285139,6627700
2019-01-25,10.51,10.58,10.41,10.55,10.403472,8839100
2019-01-28,10.49,10.57,10.44,10.52,10.373889,5192200
2019-01-29,10.49,10.53,10.42,10.48,10.334444,8271100
2019-01-30,10.46,10.63,10.42,10.59,10.442917,7026000
2019-01-31,10.68,10.82,10.68,10.8,10.650001,10354900
2019-02-01,10.85,10.93,10.81,10.9,10.74861,6651300
2019-02-04,10.83,10.88,10.79,10.87,10.719028,7449000
2019-02-05,10.85,10.92,10.83,10.84,10.689445,6926300
2019-02-06,10.91,10.94,10.85,10.9,10.74861,5478400
2019-02-07,10.86,10.93,10.8,10.85,10.699306,7116200
2019-02-08,10.83,10.89,10.81,10.86,10.709167,4103300
2019-02-11,10.86,10.89,10.79,10.82,10.669722,5929600
2019-02-12,10.85,10.86,10.76,10.77,10.620417,6300600
2019-02-13,10.85,10.87,10.77,10.8,10.650001,9532300
2019-02-14,10.65,10.76,10.62,10.76,10.610556,8443400
2019-02-15,10.68,10.78,10.64,10.76,10.610556,9269100
2019-02-19,10.47,10.57,10.38,10.55,10.403472,13443300
2019-02-20,10.62,10.73,10.62,10.7,10.551389,6693600
2019-02-21,10.6,10.62,10.49,10.55,10.403472,6913200
2019-02-22,10.56,10.68,10.55,10.63,10.482361,4644600
2019-02-25,10.83,10.92,10.78,10.81,10.659862,7781200
2019-02-26,10.7,10.76,10.62,10.73,10.580972,6343700
2019-02-27,10.61,10.73,10.57,10.7,10.551389,6812900
2019-02-28,10.69,10.77,10.65,10.72,10.571112,6815000
2019-03-01,10.79,10.87,10.74,10.84,10.689445,8012100
2019-03-04,10.85,10.87,10.66,10.72,10.571112,5650900
2019-03-05,10.72,10.8,10.65,10.77,10.620417,5576000
2019-03-06,10.7,10.75,10.68,10.71,10.56125,6026600
2019-03-07,10.65,10.71,10.48,10.49,10.344305,8304200
2019-03-08,10.41,10.48,10.36,10.47,10.324583,6145300
2019-03-11,10.48,10.57,10.46,10.55,10.403472,5497300
2019-03-12,10.53,10.55,10.46,10.52,10.373889,9129600
2019-03-13,10.53,10.6,10.48,10.55,10.403472,10809900
2019-03-14,10.52,10.61,10.48,10.6,10.452778,5964500
2019-03-15,10.69,10.77,10.69,10.7,10.551389,7108200
2019-03-18,10.7,10.74,10.68,10.72,10.571112,5828700
2019-03-19,10.8,10.91,10.79,10.9,10.74861,7204100
2019-03-20,10.97,11.04,10.88,10.94,10.788055,7616300
2019-03-21,10.94,11.08,10.94,11.06,10.906389,5108000
2019-03-22,11.05,11.12,10.86,10.88,10.728889,8525300
2019-03-25,10.86,10.88,10.77,10.82,10.669722,7322400
2019-03-26,10.86,10.88,10.77,10.82,10.669722,4427200
2019-03-27,10.79,10.83,10.67,10.73,10.580972,5644900
2019-03-28,10.91,10.94,10.83,10.88,10.728889,5429900
2019-03-29,10.93,11.03,10.92,10.93,10.778194,5862300
2019-04-01,11.07,11.16,11.03,11.09,10.935972,5765400
2019-04-02,11.16,11.26,11.1,11.18,11.024722,7661600
2019-04-03,11.2,11.28,11.16,11.2,11.044444,7516300
2019-04-04,11.09,11.15,11.0,11.07,10.916249,5658700
2019-04-05,11.17,11.36,11.15,11.32,11.162777,9160300
2019-04-08,11.28,11.38,11.27,11.31,11.152917,4759200
2019-04-09,11.23,11.26,11.14,11.15,10.995138,15865500
2019-04-10,11.12,11.17,11.04,11.08,10.926111,15151400
2019-04-11,11.05,11.07,10.9,10.97,10.817639,19697600
2019-04-12,10.6,10.71,10.45,10.55,10.403472,27590500
2019-04-15,10.61,10.61,10.5,10.57,10.423194,15949200
2019-04-16,10.56,10.57,10.36,10.37,10.225972,21431800
2019-04-17,10.42,10.46,10.37,10.41,10.265416,10317700
2019-04-18,10.45,10.49,10.34,10.39,10.245695,18307000
2019-04-22,10.44,10.47,10.39,10.45,10.304861,7392500
2019-04-23,10.48,10.64,10.48,10.53,10.38375,13314800
2019-04-24,10.62,10.7,10.56,10.58,10.433056,12134700
2019-04-25,10.57,10.57,10.4,10.52,10.373889,7030200
2019-04-26,10.64,10.68,10.56,10.65,10.502083,5366900
2019-04-29,10.69,10.78,10.66,10.75,10.600695,6956900
2019-04-30,10.82,10.88,10.75,10.76,10.610556,8432300
2019-05-01,10.81,10.88,10.76,10.77,10.620417,9212300
2019-05-02,10.64,10.72,10.47,10.57,10.423194,12516500
2019-05-03,10.56,10.56,10.07,10.33,10.186527,30580400
2019-05-06,10.31,10.52,10.31,10.45,10.304861,13121800
2019-05-07,10.44,10.46,10.29,10.34,10.196389,13262100
2019-05-08,10.42,10.43,10.26,10.39,10.245695,11854500
2019-05-09,10.34,10.36,10.19,10.2,10.058333,18123600
2019-05-10,10.23,10.27,10.11,10.26,10.1175,19016300
2019-05-13,10.17,10.18,10.04,10.11,9.969583,13309000
2019-05-14,10.15,10.29,10.13,10.21,10.068194,5885600
2019-05-15,10.23,10.39,10.19,10.39,10.245695,11611400
2019-05-16,10.48,10.56,10.47,10.51,10.364028,8502800
2019-05-17,10.4,10.44,10.15,10.17,10.02875,12427600
2019-05-20,10.31,10.36,10.15,10.2,10.058333,17155700
2019-05-21,10.2,10.21,10.12,10.18,10.038611,13841200
2019-05-22,10.19,10.32,10.18,10.22,10.078055,8639200
2019-05-23,10.08,10.2,10.01,10.16,10.018888,6115600
2019-05-24,10.27,10.35,10.23,10.23,10.087916,10594200
2019-05-28,10.4,10.45,10.3,10.3,10.156944,13101000
2019-05-29,10.33,10.34,10.23,10.27,10.127361,9885000
2019-05-30,10.38,10.6,10.37,10.57,10.423194,9560600
2019-05-31,10.5,10.53,10.41,10.47,10.324583,8501000
2019-06-03,10.56,10.63,10.41,10.45,10.304861,16517600
2019-06-04,10.5,10.6,10.42,10.58,10.433056,8956200
2019-06-05,10.56,10.57,10.43,10.44,10.294999,7705300
2019-06-06,10.46,10.58,10.46,10.53,10.38375,5068500
2019-06-07,10.52,10.68,10.52,10.63,10.482361,4587400
2019-06-10,10.76,10.81,10.73,10.78,10.630278,6059100
2019-06-11,10.84,10.85,10.72,10.84,10.689445,6582600
2019-06-12,10.82,10.9,10.77,10.8,10.650001,7234800
2019-06-13,10.63,10.7,10.54,10.62,10.62,11253600
2019-06-14,10.59,10.67,10.57,10.6,10.6,4910900
2019-06-17,10.52,10.65,10.47,10.6,10.6,5351000
2019-06-18,10.79,10.83,10.74,10.75,10.75,9545700
2019-06-19,10.78,10.8,10.59,10.6,10.6,17172400
2019-06-20,10.79,10.8,10.68,10.77,10.77,14996300
2019-06-21,10.72,10.79,10.68,10.72,10.72,8959000
2019-06-24,10.72,10.77,10.65,10.68,10.68,6824800
2019-06-25,10.7,10.7,10.61,10.65,10.65,8018600
2019-06-26,10.66,10.68,10.6,10.66,10.66,4425400
2019-06-27,10.59,10.67,10.52,10.62,10.62,7636900
2019-06-28,10.64,10.71,10.63,10.7,10.7,6315300
2019-07-01,10.7,10.7,10.62,10.7,10.7,8902200
2019-07-02,10.73,10.79,10.72,10.76,10.76,7007200
2019-07-03,10.69,10.77,10.67,10.74,10.74,6879500
2019-07-05,10.57,10.7,10.54,10.69,10.69,18833300
2019-07-08,10.6,10.62,10.55,10.56,10.56,13564300
2019-07-09,10.54,10.55,10.37,10.42,10.42,23515700
2019-07-10,10.55,10.61,10.44,10.48,10.48,14954300
2019-07-11,10.57,10.72,10.53,10.72,10.72,15798500
2019-07-12,11.34,11.56,11.27,11.4,11.4,41385700
